S-Word;Val-Mn-All(Sentimientos);Aro-Mn-All (Intensidad)
virgen;4.66;4.23
camion;4.67;4.56
menton;4.67;4.38
pie;4.67;4.58
imparcial;4.68;4.83
predominante;4.70;5.14
columna;4.71;4.14
lavabo;4.72;4.30
barril;4.73;4.12
rascacielos;4.73;5.94
repisa;4.73;4.24
extasis;4.76;6.69
ketchup;4.76;4.39
molde;4.76;4.02
doctor;4.77;5.62
patente;4.77;4.53
utensilio;4.78;4.44
consigna;4.79;4.69
cortina;4.79;4.08
folleto;4.79;4.33
taburete;4.79;3.59
mesa;4.80;4.21
tablero;4.80;4.71
tenedor;4.80;4.43
hervir;4.81;4.77
jarra;4.81;4.17
circulo;4.82;4.20
fase;4.82;4.80
enfermera;4.83;5.66
motor;4.83;4.91
vigilante;4.83;5.09
casino;4.84;4.80
habito;4.84;4.33
pieza;4.84;4.12
avenida;4.86;5.01
dedo;4.86;4.06
cuadrado;4.87;4.16
genero;4.87;4.90
negro;4.87;4.47
santo;4.87;3.56
sombrero;4.87;4.11
champion;4.88;4.23
vino;4.88;5.47
celula;4.91;4.39
patriota;4.91;5.52
reina;4.91;4.74
bandera;4.92;4.36
chaleco;4.92;4.30
roca;4.92;3.90
corcho;4.93;4.16
farol;4.93;4.47
reloj;4.96;4.72
edificio;4.97;4.48
lapiz;4.98;4.63
leon;4.98;7.09
metal;4.98;4.42
papel;4.98;3.89
rey;4.98;4.36
ascensor;4.99;4.71
carretera;5.00;5.60
contexto;5.00;4.89
fuego;5.00;6.51
heno;5.00;3.97
manera;5.00;4.50
tonada;5.00;4.72
vagina;5.00;4.82
ambicion;5.01;6.42
cuenco;5.01;3.89
huevo;5.01;3.94
material;5.01;4.19
secador;5.01;4.42
mes;5.03;4.61
silla;5.03;3.48
musculoso;5.04;4.89
pirotecnia;5.06;6.48
despreocupado;5.07;4.00
litro;5.07;4.14
metodo;5.07;4.68
puerta;5.07;4.36
armario;5.10;4.31
botella;5.10;4.68
electrodomestico;5.10;4.02
aguanieve;5.11;4.79
horquilla;5.11;4.21
linterna;5.11;4.22
tela;5.11;4.24
desvestido;5.12;6.02
orgullo;5.12;5.96
banco;5.14;4.38
noticias;5.16;5.77
torre;5.16;4.54
otoo;5.17;4.44
cesta;5.18;3.79
famoso;5.18;5.07
llano;5.18;3.84
refrigerio;5.18;4.68
pausado;5.19;3.23
trompeta;5.19;5.70
mantequilla;5.20;4.03
mueca;5.20;5.11
contenido;5.21;4.27
corona;5.21;4.48
bodega;5.23;4.54
pasaje;5.23;4.92
tenue;5.23;3.79
manguera;5.26;4.62
esfera;5.27;4.24
invertir;5.27;5.63
tiempo;5.27;5.51
rubio;5.28;4.96
bombilla;5.29;4.59
halcon;5.29;5.13
mono;5.29;5.10
publicacion;5.31;4.91
estatua;5.32;3.94
molino;5.36;4.22
brazo;5.37;4.83
historia;5.37;4.32
lesbiana;5.37;4.81
poderoso;5.37;5.40
cordero;5.38;4.74
liga;5.38;5.06
medicina;5.38;5.56
liso;5.40;4.51
mercado;5.41;4.98
vaca;5.41;4.57
lampara;5.42;4.24
costumbre;5.43;4.32
lujuria;5.43;6.94
nevera;5.44;4.84
travesia;5.44;5.04
fama;5.46;6.18
miel;5.46;4.06
hornear;5.47;4.71
lider;5.47;6.16
desnudo;5.48;6.43
faro;5.48;4.20
pancarta;5.49;5.17
poster;5.49;4.63
sustento;5.49;4.98
maestro;5.50;4.98
ordenador;5.50;5.06
radiador;5.50;3.97
unidad;5.50;4.43
espiritu;5.51;4.86
asombrado;5.52;5.96
buceador;5.52;5.22
calle;5.53;5.43
granja;5.53;4.90
orgulloso;5.53;5.80
consolado;5.54;4.49
llave;5.57;4.28
dios;5.59;4.29
esposa;5.61;4.88
curioso;5.62;6.07
reunion;5.62;5.90
tierra;5.63;4.64
delicado;5.64;4.13
mistico;5.64;4.98
ciudad;5.66;5.97
amarillo;5.67;4.84
astronauta;5.67;5.38
adulto;5.68;4.90
dolar;5.68;5.12
trampolin;5.69;5.90
asiento;5.70;4.00
bendecir;5.70;4.37
ejercicio;5.70;6.33
pescado;5.70;4.63
vivido;5.70;5.93
cocina;5.71;4.93
rapido;5.71;6.30
nombre;5.72;4.58
poder;5.73;6.09
glaciar;5.76;5.03
brio;5.78;5.77
hamburguesa;5.78;4.86
coqueto;5.79;5.13
masturbarse;5.79;6.41
respuesta;5.79;5.52
mariquita;5.80;4.60
seno;5.81;4.80
tenis;5.81;5.37
erudito;5.83;4.80
leche;5.83;4.07
prenda;5.88;4.54
ventana;5.88;4.88
fortuito;5.89;5.57
promocion;5.89;5.58
manso;5.90;3.51
flexible;5.91;4.84
gimnasta;5.91;5.42
habitante;5.91;4.61
pensamiento;5.91;5.51
buho;5.92;4.59
calor;5.92;5.66
capricho;5.92;6.21
nadador;5.92;5.40
afianzar;5.93;5.46
criatura;5.93;5.39
mermelada;5.93;4.47
pene;5.93;6.54
rojo;5.93;5.93
glamour;5.94;5.51
chica;5.97;4.92
acontecimiento;5.99;5.81
cocinero;5.99;5.11
veloz;5.99;6.72
vigoroso;5.99;5.62
activar;6.00;6.50
barco;6.00;5.08
momento;6.00;5.31
excelencia;6.01;5.39
moneda;6.01;5.72
cara;6.02;5.11
cuerpo;6.02;5.59
esposo;6.03;5.50
travesura;6.03;6.82
mano;6.04;5.10
sonajero;6.06;4.96
opcion;6.08;5.70
privacidad;6.08;4.88
impresionado;6.09;6.69
blanco;6.10;3.99
nectar;6.10;4.60
reconocido;6.11;5.02
concentrado;6.12;5.21
ensalada;6.12;4.17
moral;6.12;5.31
avion;6.13;6.07
gato;6.13;4.94
pezon;6.14;5.42
violin;6.14;4.10
defendido;6.17;5.28
conejo;6.18;5.02
piel;6.19;4.90
circo;6.20;5.56
identidad;6.20;5.04
pintura;6.20;5.20
adinerado;6.21;5.58
pasta;6.22;4.92
comprometido;6.23;5.47
mueca;6.24;4.48
orquesta;6.24;5.26
bebida;6.26;5.62
desenfadado;6.26;5.44
museo;6.26;4.52
magdalena;6.27;4.26
idolo;6.29;5.80
radio;6.29;5.52
sorprendido;6.29;6.87
espacio;6.30;5.14
fuerte;6.30;5.88
nutrir;6.30;5.12
cesped;6.31;4.03
inocente;6.31;4.39
modesto;6.31;4.24
crepusculo;6.32;4.02
paloma;6.32;4.38
vestido;6.32;5.32
detalle;6.33;5.62
vehiculo;6.33;5.78
empleo;6.34;5.76
magistral;6.34;5.67
opinion;6.34;5.69
caballo;6.36;5.66
estufa;6.37;3.74
nubes;6.37;4.21
hotel;6.39;5.49
ocaso;6.39;4.54
ahorrar;6.40;4.94
mujer;6.40;4.89
as;6.41;5.51
exterior;6.41;5.62
memoria;6.41;5.14
mente;6.41;5.81
velero;6.41;4.88
libro;6.42;5.30
ramo;6.42;5.17
correo;6.43;5.54
pajaro;6.43;4.79
verde;6.43;4.72
conejito;6.46;4.88
planta;6.46;3.80
escritor;6.47;4.74
espuma;6.47;4.84
montaa;6.49;4.99
excitado;6.50;7.89
perro;6.50;5.83
atrevido;6.51;6.71
convencido;6.51;5.29
dedicado;6.51;5.34
joya;6.51;5.32
lujo;6.51;5.57
pueblo;6.52;5.21
arbol;6.53;4.18
bar;6.53;6.02
gente;6.53;6.24
tobogan;6.54;6.42
deportes;6.56;6.60
intelecto;6.56;5.16
interes;6.57;5.89
millonario;6.57;6.00
mundo;6.57;6.12
ordenado;6.57;4.19
yate;6.57;5.19
cena;6.58;5.14
favor;6.58;5.70
perfeccion;6.58;5.83
guarderia;6.59;6.07
humilde;6.59;4.16
calmar;6.60;3.56
sueo;6.60;3.63
saludar;6.61;5.12
novia;6.63;5.79
corazon;6.64;6.22
coche;6.67;5.83
humano;6.67;5.49
azucar;6.68;5.59
oro;6.68;5.76
casita;6.69;4.50
diamante;6.69;4.96
navidad;6.69;6.10
protegido;6.69;4.01
ropa;6.69;5.63
dicha;6.70;5.51
leyenda;6.70;5.66
zafiro;6.71;5.21
juguete;6.72;5.06
restaurante;6.72;5.71
agilidad;6.73;5.97
seda;6.73;4.00
atico;6.74;5.00
mariposa;6.74;4.60
baera;6.76;3.66
color;6.77;5.84
comida;6.77;5.50
calidad;6.78;5.02
almohada;6.79;3.10
carta;6.79;5.99
abundancia;6.80;5.40
efectivo;6.80;5.40
euforico;6.80;7.53
vision;6.82;5.28
aire;6.83;4.19
decorar;6.83;5.98
milagro;6.84;5.86
saludo;6.86;5.60
tranquilo;6.86;2.36
angel;6.87;4.86
boda;6.87;5.91
crepe;6.88;5.24
sabor;6.88;5.39
persona;6.89;5.27
salvador;6.89;5.51
gloria;6.90;5.80
ventaja;6.90;5.60
hombre;6.91;6.06
palacio;6.91;5.03
cortesia;6.92;4.80
facil;6.92;4.48
guio;6.93;6.09
juego;6.94;6.72
gatito;6.96;4.86
recuerdos;6.96;5.69
acurrucarse;6.98;4.28
loteria;6.98;6.22
considerado;6.99;4.77
digno;7.00;4.76
justicia;7.00;5.78
nieve;7.00;5.34
padre;7.00;4.86
azul;7.01;3.99
brillante;7.03;5.74
casa;7.03;4.69
perfume;7.03;4.88
rio;7.03;4.62
inspirado;7.04;5.78
riqueza;7.04;5.81
suave;7.04;4.29
educacion;7.07;5.73
pizza;7.07;5.31
arte;7.09;5.31
graduado;7.09;6.16
aprobacion;7.11;5.94
aprender;7.13;6.00
chico;7.13;6.54
bailarin;7.14;6.52
pelicula;7.14;5.41
sabio;7.14;5.17
energico;7.16;6.88
movilidad;7.16;6.23
inspirar;7.17;5.14
magico;7.17;6.13
natural;7.17;4.26
prestigio;7.17;6.09
comer;7.18;5.53
pastel;7.18;5.28
lago;7.19;4.33
cascada;7.20;5.20
chiste;7.20;5.97
bao;7.21;4.08
cachorro;7.21;5.69
guapa;7.22;5.40
campo;7.23;4.18
costa;7.23;4.87
deleite;7.23;5.73
elegante;7.23;5.03
jovial;7.23;5.59
poesia;7.23;5.60
acuerdo;7.24;4.83
util;7.24;5.96
coito;7.26;7.58
tarta;7.26;5.26
rescate;7.27;7.00
respeto;7.27;4.74
tesoro;7.27;6.39
virtud;7.27;5.10
aurora;7.29;4.92
campeon;7.29;6.84
progreso;7.29;6.43
trofeo;7.30;6.89
brisa;7.31;4.51
admirado;7.33;6.53
caramelo;7.33;4.41
mascota;7.33;5.58
sexy;7.33;7.07
flor;7.34;4.46
ingenio;7.34;6.28
nio;7.34;6.40
animo;7.36;6.72
honor;7.36;5.53
idea;7.36;6.62
nene;7.36;5.40
sentimiento;7.36;6.79
extraordinario;7.37;6.12
arco-iris;7.39;4.81
fantasia;7.39;6.96
incentivo;7.39;6.71
vencedor;7.39;6.77
esperanzado;7.41;6.24
fascinar;7.42;6.84
radiante;7.43;5.94
erotico;7.44;7.47
exquisito;7.44;5.74
jubiloso;7.44;6.62
talento;7.44;5.84
dinero;7.46;6.40
diploma;7.46;6.10
intimo;7.46;5.13
mejorar;7.46;6.41
agua;7.47;4.80
belleza;7.47;5.76
adorable;7.48;5.24
alba;7.48;4.18
seguro;7.48;4.34
florecer;7.49;5.38
novio;7.49;6.70
pradera;7.49;5.03
valiente;7.49;6.46
triunfante;7.51;6.72
capaz;7.52;5.92
descanso;7.52;2.76
estrella;7.52;4.60
honesto;7.52;5.02
primavera;7.53;5.99
relajado;7.53;2.86
cumpleaos;7.54;6.74
oceano;7.54;5.36
cielo;7.56;4.56
licenciado;7.56;6.31
sociable;7.56;6.06
generoso;7.57;5.53
ganancias;7.58;6.34
imaginar;7.58;6.33
bebe;7.60;5.54
recompensa;7.60;6.36
hermoso;7.61;5.44
jubilo;7.61;6.92
hogar;7.63;5.01
respetuoso;7.63;4.21
acogedor;7.64;4.37
curar;7.66;6.27
tolerante;7.66;4.72
aplausos;7.67;7.39
encanto;7.68;5.86
exito;7.69;6.83
humor;7.70;6.90
afortunado;7.71;6.26
cama;7.71;4.57
comedia;7.71;6.33
joven;7.71;6.60
melodia;7.71;5.31
chocolate;7.72;6.10
conocimiento;7.73;6.29
leal;7.73;4.88
salud  ;7.74;5.31
aventura;7.76;7.62
fragancia;7.76;5.22
sexo;7.76;7.59
confianza;7.78;5.29
verdad;7.78;5.72
dormir;7.79;2.51
firmamento;7.79;4.80
guapo;7.79;6.64
obsequio;7.80;6.29
amable;7.81;4.92
hermano;7.81;5.08
juventud;7.82;6.60
agradecido;7.84;5.50
ganar;7.84;7.68
pasion;7.84;7.96
viajes;7.84;7.39
entusiasmo;7.86;7.49
invitacion;7.86;6.79
satisfecho;7.88;5.31
triunfo;7.89;7.03
sol;7.90;5.69
oportunidad;7.91;7.07
pareja;7.91;7.08
regalo;7.91;6.63
tierno;7.91;4.47
bueno;7.92;4.87
victoria;7.93;7.19
simpatico;7.94;6.62
maravilla;7.96;6.13
festivo;7.97;6.47
liberacion;7.97;6.63
deseo;7.98;7.31
genial;7.98;6.62
amado;7.99;6.43
jardin;7.99;4.47
romantico;7.99;7.07
amanecer;8.01;4.08
cancion;8.01;6.61
logro;8.01;6.99
naturaleza;8.03;5.38
confort;8.04;3.56
orgasmo;8.06;8.16
playa;8.07;5.93
vida;8.07;6.59
vivo;8.07;6.54
goce;8.09;6.62
afecto;8.10;6.19
esperanza;8.11;6.59
paz;8.11;3.49
abrazo;8.13;5.70
amigable;8.14;5.08
soleado;8.14;6.39
musica;8.16;6.62
familia;8.18;5.31
madre;8.19;5.19
amabilidad;8.22;5.26
paraiso;8.24;5.70
fiesta;8.26;7.66
caricia;8.27;6.04
libre;8.28;6.38
optimismo;8.31;6.38
diversion;8.32;7.68
enamorado;8.33;7.32
risa;8.34;7.10
feliz;8.37;6.97
alegre;8.41;7.66
amigo;8.41;6.73
carioso;8.41;6.21
beso;8.43;7.71
placer;8.48;7.57
amor;8.50;7.46
vacacion;8.52;6.18
libertad;8.54;6.40
productivo;7.5;7.5
inservible;3.5;7.5
sexy;7.5;7.0
putear;1.5;7.5
traidor;2.0;8.0
violar;2.0;8.5
golpear;3.0;7.5
chantajear;3.5;7.0
estafar;2.5;7.0
certidumbre;4.5;4.5
corrupcion;2.5;7.0
conciente;4.5;4.5
reprobable;2.5;7.0
narco;3.0;7.0
naco;2.0;7.0
rega¤ar;3.0;5.0
mejor;5.0;7.0
malo;3.0;6.0
relajante;4.7;5.0
perder;2.5;7.0
oportunidad;5.0;4.0
apoyar;6.0;4.5
fuerza;6.0;4.5
asnos;2.0;7.0
perdicion;2.0;5.0
babosos;1.5;7.0
inculto;2.0;7.0
antidemocrata;2.5;6.5
antifederalista;2.0;6.5
explotar;3.0;5.5
porqueria;1.5;7.5
loco;2.0;7.0
carcel;3.0;5.0
demanda;3.0;5.0
corrupcion;3.0;5.5
chingar;1.5;7.0
fobia;3.0;4.5
orgullo;7.0;4.5
quemar;3.0;5.5
ojete;2.5;6.0
pinche;1.0;7.0
pobreza;3.0;5.0
corrupto;2.0;7.0
burro;2.0;6.5
violencia;3.0;7.0
miedo;3.0;6.0
puto;3.0;6.0
